name,lat,lng,neighborhood,address,website_url
Anton-Saefkow-Bibliothek,52.5306269,13.4705099,Lichtenberg,"Anton-Saefkow-Platz 14, 10369, Berlin",
Apostel-Paulus-Kirche Schöneberg,52.4891632,13.3527499,,"Grunewaldstr. 77a, 10823 Berlin",
AQUAHÖFE Berlin (AHB),52.51,13.38,,,
Arbeit und Leben Berlin-Brandenburg gGmbH,52.455915,13.3890599,Tempelhof-Schöneberg,"Lorenzweg 5, 12099, Berlin ",
Arcanoa,52.4844,13.3895,,"Am Tempelhofer Berg 8, 10965 Berlin",
Archenhold-Sternwarte,52.4858552,13.4763288,,"Alt-Treptow 1, Berlin",
Architektenkammer Berlin,52.4993004,13.3960373,Friedrichshain-Kreuzberg,"Alte Jakobstr. 149, 10969 , Berlin",
Arena Berlin,52.49694,13.4540533,Treptow-Köpenick,"Eichenstraße 4, 12435, Berlin",
arkaoda Berlin,52.4738852,13.4425685,Berlin,"Karl-Marx Platz 16 12043 Berlin, Germany",
Arndt-Gymnasium Dahlem,52.4585711,13.2796401,Steglitz-Zehlendorf,"Königin-Luise-Straße 80 - 84, 14195 , Berlin",
Arnswalder Platz,52.5330863,13.4372299,,"Arnswalder Platz, Berlin",
Art Stalker,52.5092347,13.3022355,Charlottenburg-Wilmersdorf,"Kaiser-Friedrich-Straße 67, 10627, Berlin",
ART Stalker,52.509259,13.3021631,,,
ART Stalker - Kunst + Bar + Events,52.53,13.4,,,
"ArtSalon, KiezKultur, Nachbarschaftshaus am Lietzensee",52.505,13.29,,,
Ärztehaus,52.5227827,13.4409005,Friedrichshain-Kreuzberg,"Matthiasstr. 7, 10249, Berlin",
Aspria Berlin Ku'damm,52.5003618,13.2942559,,"Karlsruher Straße 20, Berlin",
Astra,52.5073827,13.4518947,,,
Astra Kulturhaus,52.5077001,13.4519445,,"Revaler Straße 99, 10245 Berlin",
Astrid-Lindgren-Bühne FEZ-Berlin,52.4610303,13.5486588,,"Straße zum FEZ 2, Berlin",
Astrid-Lindgren-Bühne im FEZ Berlin,52.4610303,13.5486588,,"Str. zum FEZ 2, 12459 Berlin",
Astrid-Lindgren-Bühne im FEZ-Berlin,52.457,13.535,,,
Ateliergemeinschaft Milchhof e. V.,52.5386181,13.4043436,,"Schwedter Str. 232, 10435 Berlin",
Atlantik bar,52.5327249,13.4143642,Berlin,"Kollwitzstrasse 18, 10405 Berlin",
ATZE Musiktheater,52.5432807,13.3515668,,"Luxemburger Straße 20, Berlin",
AUDIOWERK BERLIN,52.5018595,13.3685089,,"Lützowstraße 102-104 2nd court, staircase C, II Floor, 10785 Berlin",
Auditorium of bUm,52.4937164,13.4296437,,"Paul-Lincke-Ufer 21, 10999 Berlin",
Auenkirche,52.4849254,13.3238947,Charlottenburg-Wilmersdorf,"Wilhelmsaue 118, 10715, Berlin",
Auf dem Augustaplatz,52.4428381,13.3113628,Steglitz-Zehlendorf,"12203, Berlin ",
Ausland,52.5448387,13.4194785,Berlin,Lychener Strasse 60; Prenzlauer Berg; 10437 Berlin; Germany,
AVA Club,52.5028375,13.4473204,,"Warschauer Platz 18, 10245 Berlin",
AWO Stadtteiltreff Hellersdorf-Nord,52.5398963,13.6000277,Charlottenburg-Wilmersdorf,"Kastanienallee 53, 12627, Berlin",
"AWO Stadtteiltreff Mahlsdorf Süd, Haus der Begegnung",52.483704,13.602655,Marzahn-Hellersdorf,"Hultschiner Damm 98, 12623, Berlin",
AXICA Kongress- und Tagungszentrum,52.5156959,13.3789726,,"Pariser Platz 3, 10117 Berlin",
Axica Kongress- und Tagungszentrum (im Hause der DZ Bank),52.515379,13.3790482,Mitte,"Pariser Platz 3, 10178, Berlin",
B-flat Berlin,52.5228,13.4094,Mitte,"Dircksenstraße 40, 10178 Berlin",
B.L.O-Ateliers,52.5048444,13.4834737,Berlin,Kaskelstrasse 55; Berlin; 10317; Germany,
Babylon,52.5258989,13.4114358,,"Rosa-Luxemburg-Str. 30, 10178 Berlin",
Badehaus,52.5072971,13.4527414,,"Revaler Str. 99, 10245 Berlin",
Badehaus Berlin,52.6324304,13.5065749,,,
Badehaus Szimpla,52.5072813,13.4539794,,"Revaler Straße 99 RAW Gelände, 10245 Berlin",
Bahnhof  Berlin - Ostbahnhof     (vor dem DB-Reisezentrum),52.5107813,13.4327196,Friedrichshain-Kreuzberg,"Koppenstraße 3, 10243, Berlin",
Bahnhofstraße 28,52.4014805,13.3997526,Tempelhof-Schöneberg,"12305, Berlin ",
Baiz,52.5359511,13.4126884,,"Schönhauser Allee 26a, 10435 Berlin",
Bali Kino,52.4319681,13.2592782,,"Teltower Damm 33, Berlin",
BALI-Kino,52.4319681,13.2592782,Steglitz-Zehlendorf,"Teltower Damm 33, 14169, Berlin-Zehlendorf",
Ballhaus Berlin GmbH,52.5322213,13.3804414,,"Chausseestraße 102, 10115 Berlin",
Ballhaus Naunynstraße,52.5020031,13.4213249,,,
Ballhaus Ost,52.5430767,13.4149784,,,
Ballhaus Prinzenallee,52.5577738,13.3864077,Mitte,"Prinzenallee 33, 13359, Berlin",
Ballhaus Wedding,52.5565355,13.3889798,,"Wriezener Str. 6, 13359 Berlin",
Bar Aedes Architekturforum,52.5321377,13.4108574,,"Christinenstraße 18, 10119 Berlin",
Bar Am Ufer,52.4838,13.443,,"Kiehlufer 121, 12059 Berlin",
Bar Bobu,52.5121173,13.4707775,,,
BAR JEDER VERNUNFT,52.4980063,13.329586,,,
Bar Neun,52.499,13.435,Berlin,"Pücklerstraße 34, 10997 Berlin, Germany",
Bar Neun (Markthalle Neun),52.5022,13.4315,Kreuzberg,"Eisenbahnstraße 42-43, 10997 Berlin",
BAR TAUSEND,52.5208236,13.3847097,,,
Bar131,52.5273596,13.3865749,Berlin,"Chausseestraße 131A, 10115 Berlin, Germany",
Bärentouren,52.5460614,13.3799699,,"Hochstr. 18, 13357 Berlin",
Bärenzwinger,52.5125985,13.4159358,Mitte,"Rungestraße 30, 10179, Berlin",
Barkett,52.488058,13.3640294,,,
BAUFACHFRAU Berlin e.V.,52.5483268,13.4445998,,"Lehderstraße 108, 13086 Berlin",
Bauhaus-Archiv - Museum für Gestaltung,52.506344,13.3538319,,"Klingelhöferstr. 14, 10785 Berlin",
Bauhaus-Archiv / Museum für Gestaltung,52.4443357,13.2939722,,"Knesebeckstraße 1, Berlin",
Beate Uwe,52.5174812,13.419024,Berlin,"Schillingstr. 31, 10179, Berlin",
Bebelplatz,52.5164872,13.3938262,,"Bebelplatz, Berlin",
Begegnungsstätte Falckensteinstraße,52.499513,13.4427102,Friedrichshain-Kreuzberg,"Falckensteinstraße 6, 10997, Berlin",
Begine,52.4967592,13.3618488,,"Potsdamer Str. 139, 10783 Berlin",
BEGiNE - Treffpunkt & Kultur für Frauen e.V.,52.4967592,13.3618488,Tempelhof-Schöneberg,"Potsdamer Str. 139, 10783, Berlin",
Ben Blu's Illusionstheater,52.502106,13.3293345,,"Meinekestraße 24, Berlin",
Ben Blu’s Illusionstheater,52.502106,13.3293345,,"Meinekestr. 24, 10719 Berlin",
Berghain | Panorama Bar | Säule,52.5114484,13.4407738,Berlin,70 Am Wriezener Bahnhof; Friedrichshain; 10243 Berlin; Germany,
Berlin,52.5063625,13.3324146,,,
Berlin Central Station,52.5250839,13.369402,,"Europaplatz 1, 10557 Berlin",
Berlin Hauptbahnhof,52.5251951,13.3693321,Mitte,"Europaplatz 1, 10557, Berlin",
Berlin Hauptbahnhof & Regierungsviertel,52.5241928,13.3690938,,"Washingtonplatz, 10557 Berlin",
Berlin Hermannplatz,52.4873922,13.4255186,,,
Berlin Kreuzberg,52.4880037,13.4089223,,,
Berlin Mitte,52.5061215,13.3634748,,"Reichpietschufer 60-62 vor dem Shell-Haus (Kreuzung Stauffenbergstr. und Reichpietschufer), 10785 Berlin",
Berlin Partner für Wirtschaft und Technologie GmbH,52.5068966,13.3285832,Charlottenburg-Wilmersdorf,"Fasanenstraße 85, 10623, Berlin",
Berlin Prenzlauer Berg,52.5431548,13.4142273,,,
Berlin Uber-Arena & Umgebung,52.5063749,13.4394473,,"Koppenstraße 8, 10243 Berlin",
Berlin-Brandenburgische Akademie der Wissenschaften,52.5139554,13.3934782,,"Markgrafenstraße 38, 10117 Berlin",
Berlin-Karow/Achillesstr.,52.617089,13.4893426,,"Achillesstr., Berlin",
Berlin-Neukölln,52.4811497,13.4353501,,,
Berliner Compagnie,52.5031534,13.428371,,"Muskauer Str. 20a, 10997 Berlin",
Berliner Ensemble,52.5221371,13.3856798,,"Bertolt-Brecht-Platz 1, 10117 Berlin",
Berliner Festspiele,52.4986265,13.3287067,,,
Berliner Kriminal Theater,52.518,13.389,,,
Berliner Kunstmarkt an der Museumsinsel,52.521,13.396,,,
Berliner Landesinstitut für Qualifizierung und Qualitätsentwicklung an Schulen (BLiQ),52.5185199,13.2800598,Charlottenburg-Wilmersdorf,"Fürstenbrunner Weg 22-30, 14059, Berlin",
Berliner Landeszentrale für politische Bildung,52.5065665,13.3306054,,"Revaler Str. 29, Berlin",
Berliner Landeszentrale für politische Bildung – Besuchszentrum Ostkreuz,52.5051417,13.4620154,Friedrichshain-Kreuzberg,"Revaler Straße 29, 10245, Berlin",
Berliner Medizinhistorisches Museum der Charité,52.5260387,13.3747506,,"Virchowweg 16, 10117 Berlin",
Berliner Ringtheater,52.5151698,13.409647,,"Am Krögel 2, 10179 Berlin",
"Berliner Sparkasse, Max Liebermann Haus",52.516709,13.3778222,,"Pariser Platz 7, 10117 Berlin",
Berliner Stadtbibliothek,52.5156997,13.4045784,Mitte,"Breite Str. 30-36, 10178, Berlin",
Berlinische Galerie,52.5039063,13.3982331,,"Alte Jakobstrasse 124-128, Berlin",
BerlinSicht,52.4942162,13.3028827,,10709 Berlin,
Berufliche Schule für Sozialwesen Pankow,52.5938853,13.4004528,Pankow,"Erbeskopfweg 6-10, 13158 , Berlin",
Berufsinformationszentrum (BIZ) der Agentur für Arbeit Berlin Mitte,52.5056512,13.3909667,Mitte,"Friedrichstraße 39, 10969, Berlin",
Berufsinformationszentrum (BiZ) der Agentur für Arbeit Berlin Nord,52.5159482,13.2801999,Charlottenburg-Wilmersdorf,"Königin-Elisabeth-Str. 49, 14059, Berlin",
Berufsinformationszentrum (BiZ) der Agentur für Arbeit Berlin Süd,52.4696956,13.4648536,Neukölln,"Sonnenallee  282, 12057, Berlin",
"betahaus | Kreuzberg (Coworking, Private Offices & Event Spaces)",52.5065997,13.3915696,,"Rudi-Dutschke-Straße 23, 10969 Berlin",
Bettina-von-Arnim-Bibliothek,52.549382,13.4137007,,"Schönhauser Allee 75, 10439",
BEYDES New Working Culture,52.5889944,13.2869969,,"Grußdorfstraße 3, 13507 Berlin",
Bezirk Lichtenberg,52.5159163,13.4795659,Lichtenberg,,
Bezirkszentralbibliothek im Eva-Maria-Buch-Haus,52.4637788,13.3877841,Tempelhof-Schöneberg,"Götzstr. 8-12, 12099, Berlin",
Bezirkszentralbibliothek Pablo Neruda,52.514551,13.4570531,Friedrichshain-Kreuzberg,"Frankfurter Allee 14A, 10247, Berlin",
BGS Falcke,52.499513,13.4427102,Friedrichshain-Kreuzberg,"Falckensteinstr. 6, 10997, Berlin",
BGS Gitschiner,52.497845,13.4100221,Friedrichshain-Kreuzberg,"Gitschiner Str. 38, 10969, Berlin",
BGS Kadiner,52.5152639,13.4507691,Friedrichshain-Kreuzberg,"Kadiner Str. 1, 10243, Berlin ",
BGS Kadiner - Lebensfreude,52.5152639,13.4507691,Friedrichshain-Kreuzberg,"Kadiner Str. 1, 10243, Berlin",
Bi Nuu,52.5003736,13.4408463,,"Skalitzer Straße 72, 10997 Berlin",
"Bibliothek ""Heinrich von Kleist""  12689 Berlin",52.5682736,13.5739696,Marzahn-Hellersdorf,"Havemannstraße 17 B, 12689, Berlin",
Bibliothek am Luisenbad,52.553614,13.3794962,Mitte,"Badstraße 39, 13357 , Berlin",
Bibliothek am Schäfersee,52.5611031,13.3651189,,"Markstraße 36, Berlin",
Bibliothek am Wasserturm,52.5333155,13.4202437,,"Prenzlauer Allee 227/228, Berlin",
Bibliothek im Märkischen Viertel,52.5976675,13.3523189,Reinickendorf,"Wilhelmsruher Damm 142 c, 13439, Berlin",
Bibliothek im Märkischen Viertel – Stadtbibliothek Reinickendorf,52.5976675,13.3523189,,"Wilhelmsruher Damm 142c, Berlin",
Bibliothek Tiergarten-Süd,52.5037597,13.3634291,Mitte,"Lützowstr. 27, 10785 , Berlin",
Biergarten Jockel,52.4917652,13.4382485,,"Ratiborstraße 14 c, Berlin",
Biesdorf Center,52.5063924,13.5579287,,"Weißenhöher Str. 108, Berlin",
BIMM University Berlin - House of Music,52.5067596,13.4533389,,"Revaler Straße 99, 10245 Berlin",
BIMM University Berlin – Molecule Studios,52.492706,13.4503159,,"Bouchéstraße 12 #Haus 1, 12435 Berlin",
Biosphäre Potsdam,52.4184868,13.0487032,,"Georg-Hermann-Allee 99, Potsdam",
"Birger-Forell-Schule, Aula",52.4805931,13.3224208,Charlottenburg-Wilmersdorf,"Koblenzer Straße 22 - 24, 10715 , Berlin",
BIWOC* Rising,52.5005966,13.4175196,,"Dresdener Straße 11, 10999 Berlin",
BKA,52.4936405,13.3876998,,"Mehringdamm 34, 10961 Berlin",
BKA Theater,52.4936405,13.3876998,,,
BlaueZitrone – Kunstatelier für Kinder und Events,52.3981512,13.1377402,,"Stubenrauchstrasse 50, Berlin",
Block1,52.4835359,13.5015587,Berlin,"Blockdammweg 1, Berlin 10317",
Bluemax Theater,52.506926,13.3733397,,"Marlene-Dietrich-Pl. 4, 10785 Berlin",
Blumental,52.50584,13.4213038,,"Engeldamm 64, 10179 Berlin",
BMW Motorrad Welt,52.5395,13.2183,,"Am Juliusturm 32, Berlin",
Bode-Museum,52.5216902,13.3932494,,"Am Kupfergraben, Berlin",
Bodo-Uhse-Bibliothek,52.4975398,13.5203133,,"Erich-Kurz-Straße 9, Berlin",
Bohnengold,52.4975635,13.424255,Berlin,"Reichenberger Str. 153, 10999 Berlin",
Bolinas Kaffee und Laden,52.4833303,13.3821531,,"Manfred-von-Richthofen-Str. 16, Berlin",
Bonvivant Cocktail Bistro,52.4946487,13.3537681,,"Goltzstraße 32, 10781 Berlin",
Botanischer Garten Berlin,52.4554846,13.3022697,,,
Botanischer Garten Potsdam,52.4037314,13.0268883,,"Maulbeerallee 2, 14469 Potsdam",
BQ,52.5173,13.4398,,"Weydingerstr. 10, 10178 Berlin",
Brandenburger Tor,52.5163514,13.3786908,,"Pariser Platz, Berlin",
Brandenburger Tor/Straße des 17. Juni,52.5162919,13.3757675,,,
Brauhaus Neulich,52.4784374,13.419898,,,
Bredouille,52.5200011,13.3898465,Berlin,"S-Bahnbogen 199, Georgenstraße, 10117 Berlin, Germany",
Breslauer Platz,52.4721139,13.3355092,,"Breslauer Platz 0, 12159, Berlin",
Brillat-Savarin-Schule (OSZ Gastgewerbe),52.56,13.47,Pankow,"Filiale Darßer Strasse 97, 13051, Berlin",
Britzer Garten,52.4337813,13.4172828,,"Buckower Damm 164, Berlin",
Bröhan-Museum,52.5186465,13.295397,,"Schloßstrasse 1a, Berlin",
Brotfabrik,52.5525923,13.4305919,,"Caligariplatz 1, Berlin",
Brotfabrik Galerie,52.5525923,13.4305919,,"Caligaripl. 1, 13086 Berlin",
Brücke-Museum,52.4669327,13.2747539,,"Bussardsteig 9, 14195 Berlin",
Brücke-Museum Berlin,52.4669327,13.2747539,,"Bussardsteig 9, Berlin",
Bruno-Lösche- Bibliothek,52.5312448,13.3475136,Mitte,"Perleberger Str. 33, 10559 , Berlin",
BUCHBOX! am Helmholzplatz,52.5415,13.419,,,
Buchbox! Kastanienallee,52.537,13.41,,"Kastanienallee 97, 10435 Berlin",
Buchhandlung Knesebeck Elf,52.508,13.322,,"Knesebeckstr. 11, 10623 Berlin",
Buddha Haus,52.4869145,13.3549853,,"Akazienstraße 27, 10823 Berlin",
Bühnen Rausch,52.52,13.405,,,
"Building Gauss (B), Berliner Hochschule für Technik (BHT)",52.5434761,13.3513991,,"Luxemburger Straße 20a, 13353 Berlin",
Bulbul Berlin,52.499358,13.4242518,Berlin,"Skalitzer str. 114, 10999 Berlin, Germany",
Bundeskanzleramt,52.5201946,13.3691292,,,
Bundesplatz,52.4801706,13.3278832,,"Bundesplatz 1, 10715, Berlin",
Burg Beeskow,52.1732,14.2474,,"Frankfurter Straße 23, Beeskow",
Bürgerhaus Neuenhagen,52.5214045,13.7046552,,"Hauptstraße 2, Neuenhagen",
Bürgermeister-Herz-Grundschule,52.4944373,13.4053974,,"Wilmsstraße 10, Berlin",
Bürgertreffpunkt Bahnhof Lichterfelde West,52.4432043,13.2943921,Steglitz-Zehlendorf,"Hans-Sachs-Str. 4 d, 12205, Berlin ",
C/O Berlin,52.5065665,13.3306054,,"Hardenbergstr. 22-24, 10623 Berlin",
C115,52.51,13.26,Berlin,"Messedamm 23, 14055 Berlin",
Cabuwazi - Zelt Tempelhof,52.485,13.39,,"Columbiadamm 84, 10965 Berlin",
CABUWAZI Altglienicke,52.4040451,13.5326808,,"Venusstr. 90, Berlin",
CABUWAZI Tempelhof,52.4819481,13.4016791,,"Columbiadamm 84, Berlin",
CABUWAZI Treptow,52.4893088,13.4481772,,"Bouchéstr. 74, Berlin",
Café Chagall,52.5313153,13.412804,,,
Café LULO - Specialty Colombian Coffee & Roastery,52.4643431,13.4217929,,"Eschersheimer Straße 41, 12099 Berlin",
Callie's,52.5436495,13.367502,Berlin,"Lindower Str. 20, 13347 Berlin, Germany",
Capitain Petzel,52.5175,13.4384,,"Karl-Marx-Allee 45, 10178 Berlin",
Cassiopeia,52.5072453,13.4547886,,,
Catalyst - Institute for Creative Arts and Technology,52.4795432,13.5002785,,"Nalepastraße 18, 12459 Berlin",
Chamäleon,52.524042,13.402083,,"Rosenthaler Str. 40-41, 10178 Berlin",
Chamäleon Theater,52.524042,13.402083,,,
Charité Campus Benjamin Franklin,52.4434756,13.3234169,Steglitz-Zehlendorf,"Hindenburgdamm 30, 12203, Berlin",
Charlottchen,52.5026974,13.3004951,,"Droysenstraße 1, Berlin",
Christuskirche Berlin-Kreuzberg,52.4919255,13.4201772,,"Dieffenbachstr. 39, Berlin",
ciao ciao Bar,52.5009527,13.4446617,Berlin,"Falckensteinstr. 47 / 48, 10997 Berlin",
CIC Berlin,52.4940361,13.4462696,,"Lohmühlenstraße 65, 12435 Berlin",
Cineplex Alhambra,52.5505689,13.3511332,,"Seestraße 94, Berlin",
Cineplex Spandau,52.5384815,13.2063163,,"Havelstraße 20, Berlin",
Circus Schatzinsel,52.5015319,13.4439606,,"May-Ayim-Ufer 4, 10997 Berlin",
Clärchens Ballhaus,52.527156,13.3975209,,"Auguststr. 24/25, 10117 Berlin",
Clash Kitchens & Bar im NYX Hotel Berlin Köpenick,52.445,13.575,,,
Clay Garden Pottery Studio,52.51,13.42,,,
Club der Visionaere,52.4967959,13.4504805,Berlin,"Am Flutgraben 1, 12435 Berlin, Germany",
Coaching Akademie Berlin | NIKISPACE,52.5170842,13.4057532,,"Poststraße 4-5 (in den Kurfürstenhöfen), 10178 Berlin",
Coco Boule,52.5029816,13.4099357,Berlin,"Prinzenstraße 85/D-F, 10969 Berlin, Germany",
Cocoon Berlin,52.5540174,13.3746948,Berlin,"Exerzierstraße 14, 13357",
COLORB(L)IND,52.5503443,13.3493888,,"Cornelius-Fredericks-Str. 8, Berlin",
Colosseum Berlin,52.5478942,13.4130423,Pankow,"Gleimstraße 31, 10437, Berlin",
Colosseum Filmtheater,52.547,13.41,,"Schönhauser Allee 123, 10437 Berlin",
Colosseum Kino,52.5479337,13.4121388,,"Schönhauser Allee 123, Berlin",
Columbia Theater,52.4847302,13.3914367,,"Columbiadamm 9-11, 10965 Berlin",
Columbia-Theater,52.4847302,13.3914367,,,
Columbiahalle,52.4847383,13.392546,,"Columbiadamm 13–21, 10965 Berlin",
Comenius Schule,52.4885781,13.3187635,Charlottenburg-Wilmersdorf,"Gieseler Str. 4, 10713, Berlin",
ComicInvasion,52.5108,13.388,,,
Computerspielemuseum,52.5174697,13.4419545,,"Karl-Marx-Allee 93a, Berlin",
Container vor dem Finanzamt,52.494773,13.3885465,Friedrichshain-Kreuzberg,"Mehringdamm 22, 10961, Berlin",
Cosmic Comedy Club Berlin,52.5298031,13.4098848,,"Schönhauser Allee 184, 10119 Berlin",
cpb culturepartner,52.4655268,13.3666988,,"Bessemerstr. 22, 12103 Berlin",
Crack Bellmer,52.5072971,13.4527414,Berlin,Revaler Strasse 99; 10245 Berlin-Friedrichshain; Berlin; Germany,
Curly Bar,52.5479219,13.3669544,,"Adolfstraße 17, 13347 Berlin",
daadgalerie,52.5025911,13.4137293,,"Oranienstr. 161, 10969 Berlin",
DARK MATTER,52.4929048,13.4925811,,,
Das Gift,52.484117,13.4322707,,"Donaustraße 119, 12043 Berlin",
DAS MINSK Kunsthaus in Potsdam,52.3886638,13.0641321,,"Max-Planck-Straße 17, Potsdam",
Das Weite Theater,52.5165791,13.4775455,,"Parkaue 23, Berlin",
DDR-Museum,52.51944,13.4022381,Charlottenburg-Wilmersdorf,"Karl-Liebknecht-Str. 1, 10178, Berlin",
Delphi Filmpalast,52.506069,13.3284714,,,
delphi LUX,52.5060698,13.3305818,Charlottenburg-Wilmersdorf,"Kantstraße 10, 10623, Berlin",
Denkmal für die ermordeten Juden Europas,52.5138731,13.3787346,,"Cora-Berliner-Str. 1, 10117 Berlin",
